"id","domena","baza","miasto","lat","lng","region","domenaupper","aktywna"
"2","augustowogloszenia.pl","augustow","Augustów","53.8434","22.9796","podlaskie","AugustowOgloszenia.pl","TAK"
"3","bartoszyceogloszenia.pl","bartoszyce","Bartoszyce","54.2533","20.8081","warmińsko-mazurskie","BartoszyceOgloszenia.pl","TAK"
"4","belchatowogloszenia.pl","belchatow","Bełchatów","51.3688","19.3564","łódzkie","BelchatowOgloszenia.pl","TAK"
"5","bialapodlaskaogloszenia.pl","bialapodlaska","Biała Podlaska","52.0387","23.1445","lubelskie","BialaPodlaskaOgloszenia.pl","TAK"
"6","bielawaogloszenia.pl","bielawa","Bielawa","50.6908","16.6229","dolnośląskie","BielawaOgloszenia.pl","TAK"
"7","bilgorajogloszenia.pl","bilgoraj","Biłgoraj","50.541","22.722","lubelskie","BilgorajOgloszenia.pl","TAK"
"8","boleslawiecogloszenia.pl","boleslawiec","Bolesławiec","51.2659","15.5657","dolnośląskie","BoleslawiecOgloszenia.pl","TAK"
"9","brzegogloszenia.pl","brzeg","Brzeg","50.8609","17.4668","opolskie","BrzegOgloszenia.pl","TAK"
"10","bydgoszczogloszenia.pl","bydgoszcz","Bydgoszcz","53.1235","18.0084","kujawsko-pomorskie","BydgoszczOgloszenia.pl","NIE"
"11","chelmogloszenia.pl","chelm","Chełm","51.1431","23.4712","lubelskie","ChelmOgloszenia.pl","TAK"
"12","chorzowogloszenia.pl","chorzow","Chorzów","50.2975","18.9546","śląskie","ChorzowOgloszenia.pl","TAK"
"13","ciechanowogloszenia.pl","ciechanow","Ciechanów","52.8815","20.6198","mazowieckie","CiechanowOgloszenia.pl","NIE"
"14","czestochowaogloszenia.pl","czestochowa","Częstochowa","50.8118","19.1203","śląskie","CzestochowaOgloszenia.pl","NIE"
"15","dzierzoniowogloszenia.pl","dzierzoniow","Dzierżoniów","50.7309","16.6568","dolnośląskie","DzierzoniowOgloszenia.pl","TAK"
"16","elkogloszenia.pl","elk","Ełk","53.8281","22.3647","warmińsko-mazurskie","ElkOgloszenia.pl","TAK"
"17","gliwiceogloszenia.pl","gliwice","Gliwice","50.2945","18.6714","śląskie","GliwiceOgloszenia.pl","NIE"
"18","gnieznoogloszenia.pl","gniezno","Gniezno","52.5349","17.5827","wielkopolskie","GnieznoOgloszenia.pl","TAK"
"19","gorzowogloszenia.pl","gorzow","Gorzów","52.7325","15.2369","lubuskie","GorzowOgloszenia.pl","NIE"
"20","gostynogloszenia.pl","gostyn","Gostyń","51.8786","17.0121","wielkopolskie","GostynOgloszenia.pl","TAK"
"21","grudziadzogloszenia.pl","grudziadz","Grudziądz","53.4837","18.7536","kujawsko-pomorskie","GrudziadzOgloszenia.pl","TAK"
"22","inowroclawogloszenia.pl","inowroclaw","Inowrocław","52.7993","18.2562","kujawsko-pomorskie","InowroclawOgloszenia.pl","NIE"
"23","jaroslawogloszenia.pl","jaroslaw","Jarosław","50.0161","22.6777","podkarpackie","JaroslawOgloszenia.pl","TAK"
"24","jasloogloszenia.pl","jaslo","Jasło","49.7446","21.4723","podkarpackie","JasloOgloszenia.pl","TAK"
"25","jeleniagoraogloszenia.pl","jeleniagora","Jelenia Góra","50.9044","15.7194","dolnośląskie","JeleniaGoraOgloszenia.pl","TAK"
"26","ketrzynogloszenia.pl","ketrzyn","Kętrzyn","54.0766","21.375","warmińsko-mazurskie","KetrzynOgloszenia.pl","TAK"
"27","kolobrzegogloszenia.pl","kolobrzeg","Kołobrzeg","54.1759","15.5833","zachodniopomorskie","KolobrzegOgloszenia.pl","TAK"
"28","koloogloszenia.pl","kolo","Koło","52.1999","18.6385","wielkopolskie","KoloOgloszenia.pl","TAK"
"29","koninogloszenia.pl","konin","Konin","52.223","18.2511","wielkopolskie","KoninOgloszenia.pl","TAK"
"30","koszalinogloszenia.pl","koszalin","Koszalin","54.1943","16.1715","zachodniopomorskie","KoszalinOgloszenia.pl","TAK"
"31","krasnikogloszenia.pl","krasnik","Kraśnik","50.9234","22.2264","lubelskie","KrasnikOgloszenia.pl","TAK"
"32","kwidzynogloszenia.pl","kwidzyn","Kwidzyn","53.7264","18.9323","pomorskie","KwidzynOgloszenia.pl","TAK"
"33","legionowoogloszenia.pl","legionowo","Legionowo","52.4044","20.95","mazowieckie","LegionowoOgloszenia.pl","TAK"
"34","legnicaogloszenia.pl","legnica","Legnica","51.207","16.1553","dolnośląskie","LegnicaOgloszenia.pl","TAK"
"35","lesznoogloszenia.pl","leszno","Leszno","51.842","16.5938","wielkopolskie","LesznoOgloszenia.pl","TAK"
"36","lodzogloszenia.pl","lodz","Łódź","51.7592","19.456","łódzkie","LodzOgloszenia.pl","NIE"
"37","lubartowogloszenia.pl","lubartow","Lubartów","51.4599","22.6095","lubelskie","LubartowOgloszenia.pl","TAK"
"38","lubinogloszenia.pl","lubin","Lubin","51.3977","16.2096","dolnośląskie","LubinOgloszenia.pl","TAK"
"39","lublinogloszenia.pl","lublin","Lublin","51.2465","22.5684","lubelskie","LublinOgloszenia.pl","NIE"
"40","malborkogloszenia.pl","malbork","Malbork","54.0361","19.038","pomorskie","MalborkOgloszenia.pl","TAK"
"41","nowysaczogloszenia.pl","nowysacz","Nowy Sącz","49.6175","20.7153","małopolskie","NowySaczOgloszenia.pl","TAK"
"42","ogloszeniaaleksandrow.pl","aleksandrow","Aleksandrów Kujawski","52.8762","18.6657","kujawsko-pomorskie","OgloszeniaAleksandrow.pl","NIE"
"43","ogloszeniabialystok.com","bialystok","Białystok","53.1325","23.1688","podlaskie","OgloszeniaBialystok.pl","NIE"
"44","ogloszeniabielsk.pl","bielsk","Bielsk Podlaski","52.7643","23.1552","podlaskie","OgloszeniaBielsk.pl","TAK"
